Class,Object,Vertex Count
BuildingNonResidential,m472.obj,358
BuildingNonResidential,m474.obj,1361
BuildingNonResidential,m475.obj,112
BuildingNonResidential,m477.obj,1047
BuildingNonResidential,m478.obj,1750
BuildingNonResidential,m479.obj,648
BuildingNonResidential,m481.obj,473
Bus,D00084.obj,12919
Bus,D00114.obj,7643
Bus,D00151.obj,9415
Bus,D00179.obj,5976
Bus,D00182.obj,13436
Bus,D00264.obj,11096
Bus,D00411.obj,4964
Bus,D00436.obj,4587
Bus,D00446.obj,4915
Bus,D00448.obj,7367
Bus,D00483.obj,6097
Bus,D00516.obj,4096
Bus,D00677.obj,11974
Bus,D00754.obj,8866
Bus,D00769.obj,8963
Bus,D00775.obj,9510
Bus,D00815.obj,7075
Bus,D00823.obj,7367
Bus,D00832.obj,3155
Bus,D00857.obj,5223
Car,D00168.obj,4999
Car,D00236.obj,26709
Car,D00260.obj,38335
Car,D00265.obj,4960
Car,D00299.obj,23527
Car,D00377.obj,8260
Car,D00405.obj,62279
Car,D00452.obj,25495
Car,D00504.obj,5153
Car,D00541.obj,2956
Car,D00618.obj,3506
Car,D00670.obj,4978
Car,D00671.obj,29817
Car,D00724.obj,17676
Car,D00767.obj,13728
Car,D00785.obj,7248
Car,D00793.obj,5322
Car,D00803.obj,25807
Car,D00865.obj,15085
Car,D00976.obj,18122
Car,m1485.obj,6148
Car,m1486.obj,5911
Car,m1487.obj,7454
Car,m1488.obj,4952
Car,m1489.obj,1684
Car,m1490.obj,2868
Car,m1492.obj,5914
Car,m1495.obj,6870
Car,m1496.obj,8404
Car,m1497.obj,3655
Car,m1498.obj,5514
Car,m1499.obj,15465
Car,m1500.obj,1644
Car,m1502.obj,4970
Car,m1503.obj,24786
Car,m1504.obj,1621
Car,m1505.obj,10969
Car,m1506.obj,4284
Car,m1507.obj,6514
Car,m1508.obj,4336
Car,m1509.obj,47558
Car,m1510.obj,54710
Car,m1511.obj,10828
Car,m1512.obj,6816
Car,m1513.obj,13106
Car,m1514.obj,18662
Car,m1515.obj,250
Car,m1516.obj,12279
Car,m1517.obj,3956
Car,m1518.obj,7486
Car,m1519.obj,4275
Car,m1521.obj,308
Car,m1522.obj,2676
Car,m1523.obj,1830
Car,m1524.obj,1517
Car,m1525.obj,10545
Car,m1526.obj,320
Car,m1527.obj,7315
Car,m1528.obj,18656
Car,m1529.obj,4168
Car,m1530.obj,1268
Car,m1531.obj,2170
Car,m1532.obj,132
Car,m1533.obj,7374
Car,m1535.obj,15178
Car,m1536.obj,1503
Car,m1538.obj,1830
Car,m1539.obj,8254
Car,m1540.obj,8492
Car,m1542.obj,4384
Car,m1543.obj,386
Car,m1544.obj,60326
Car,m1545.obj,8278
Car,m1546.obj,9068
Car,m1547.obj,249
Car,m1548.obj,8278
Car,m1550.obj,9369
Car,m1551.obj,18528
Car,m1552.obj,5247
Car,m1553.obj,1239
Car,m1555.obj,16607
Car,m1556.obj,35131
Car,m1557.obj,8489
Car,m1558.obj,6943
Car,m1559.obj,15606
Car,m1560.obj,21686
Car,m1561.obj,332
Car,m1562.obj,12016
Car,m1563.obj,616
Cellphone,D00018.obj,14103
Cellphone,D00032.obj,3500
Cellphone,D00079.obj,20212
Cellphone,D00152.obj,44041
Cellphone,D00192.obj,1230
Cellphone,D00248.obj,5754
Cellphone,D00312.obj,1012
Cellphone,D00327.obj,6318
Cellphone,D00362.obj,29805
Cellphone,D00369.obj,926
Cellphone,D00440.obj,763
Cellphone,D00527.obj,8796
Cellphone,D00542.obj,16185
Cellphone,D00554.obj,14822
Cellphone,D00559.obj,3120
Cellphone,D00817.obj,5206
Cellphone,D00848.obj,9745
Cellphone,D00902.obj,2408
Cellphone,D00979.obj,3120
Cellphone,D00997.obj,4796
Chess,D01017.obj,380
Chess,D01019.obj,416
Chess,D01021.obj,1474
Chess,D01043.obj,389
Chess,D01045.obj,1542
Chess,D01049.obj,214
Chess,D01053.obj,89
Chess,D01080.obj,250
Chess,D01081.obj,6727
Chess,D01099.obj,2386
Chess,D01105.obj,282
Chess,D01112.obj,1182
Chess,D01123.obj,390
Chess,D01126.obj,802
Chess,D01130.obj,1282
Chess,D01138.obj,416
Chess,D01145.obj,390
Chess,D01171.obj,4002
Chess,D01186.obj,154
Chess,D01188.obj,242
Chess,m1589.obj,3782
Chess,m1591.obj,7339
Chess,m1593.obj,25650
Chess,m1595.obj,60671
Chess,m1596.obj,16803
Chess,m1598.obj,1182
Chess,m1599.obj,250
Chess,m1600.obj,416
Chess,m1601.obj,6727
Chess,m1602.obj,1542
Chess,m1603.obj,389
Chess,m1604.obj,214
Chess,m1605.obj,89
Chess,m1606.obj,2386
Chess,m1607.obj,802
Chess,m1608.obj,242
Chess,m1609.obj,154
Chess,m1610.obj,6094
Chess,m1611.obj,1474
Chess,m1612.obj,1282
Chess,m1613.obj,282
Chess,m1614.obj,390
City,D01001.obj,6645
City,D01007.obj,3163
City,D01010.obj,1049
City,D01018.obj,6529
City,D01039.obj,1344
City,D01056.obj,1638
City,D01066.obj,9894
City,D01068.obj,5538
City,D01079.obj,9201
City,D01090.obj,7089
City,D01091.obj,1321
City,D01092.obj,1380
City,D01101.obj,26070
City,D01103.obj,2274
City,D01124.obj,5211
City,D01133.obj,5804
City,D01173.obj,2341
City,D01181.obj,5137
City,D01192.obj,14752
City,D01195.obj,16857
City,m1652.obj,2274
City,m1654.obj,5538
City,m1659.obj,5804
City,m1660.obj,2341
City,m1661.obj,1344
City,m1662.obj,9201
City,m1664.obj,1049
ClassicPiano,D00005.obj,626
ClassicPiano,D00009.obj,2027
ClassicPiano,D00034.obj,1611
ClassicPiano,D00092.obj,5901
ClassicPiano,D00120.obj,231
ClassicPiano,D00190.obj,1572
ClassicPiano,D00233.obj,5205
ClassicPiano,D00254.obj,1335
ClassicPiano,D00279.obj,7253
ClassicPiano,D00305.obj,1711
ClassicPiano,D00314.obj,6800
ClassicPiano,D00561.obj,1826
ClassicPiano,D00579.obj,2369
ClassicPiano,D00605.obj,8121
ClassicPiano,D00784.obj,5131
ClassicPiano,D00789.obj,3136
ClassicPiano,D00811.obj,615
ClassicPiano,D00845.obj,750
ClassicPiano,D00967.obj,4279
ClassicPiano,D00983.obj,204
Computer,D01002.obj,2591
Computer,D01023.obj,11463
Computer,D01026.obj,396
Computer,D01028.obj,2503
Computer,D01033.obj,2986
Computer,D01037.obj,135
Computer,D01067.obj,5026
Computer,D01070.obj,3935
Computer,D01071.obj,29
Computer,D01072.obj,325
Computer,D01073.obj,4638
Computer,D01082.obj,4269
Computer,D01085.obj,46
Computer,D01098.obj,668
Computer,D01100.obj,2986
Computer,D01102.obj,28
Computer,D01115.obj,8163
Computer,D01128.obj,17301
Computer,D01164.obj,2674
Computer,D01185.obj,270
Computer,m1764.obj,668
Computer,m1765.obj,28
Computer,m1766.obj,29
Computer,m1767.obj,2591
Computer,m1769.obj,46
Computer,m1770.obj,2986
Computer,m1772.obj,17301
Computer,m1773.obj,2503
Computer,m1774.obj,284
Computer,m1775.obj,396
Computer,m1776.obj,270
Computer,m1777.obj,325
Computer,m1778.obj,5026
ComputerKeyboard,D00116.obj,805
ComputerKeyboard,D00127.obj,706
ComputerKeyboard,D00197.obj,6987
ComputerKeyboard,D00278.obj,1043
ComputerKeyboard,D00360.obj,6193
ComputerKeyboard,D00382.obj,8346
ComputerKeyboard,D00420.obj,11072
ComputerKeyboard,D00493.obj,1300
ComputerKeyboard,D00525.obj,8309
ComputerKeyboard,D00569.obj,348
ComputerKeyboard,D00597.obj,8460
ComputerKeyboard,D00600.obj,1837
ComputerKeyboard,D00627.obj,6564
ComputerKeyboard,D00654.obj,1179
ComputerKeyboard,D00673.obj,1002
ComputerKeyboard,D00676.obj,7956
ComputerKeyboard,D00692.obj,4176
ComputerKeyboard,D00805.obj,6954
ComputerKeyboard,D00905.obj,1282
ComputerKeyboard,D00990.obj,1646
Cup,D00035.obj,235
Cup,D00067.obj,353
Cup,D00174.obj,12252
Cup,D00206.obj,2092
Cup,D00214.obj,395
Cup,D00270.obj,2687
Cup,D00328.obj,2827
Cup,D00355.obj,7114
Cup,D00363.obj,5433
Cup,D00457.obj,10872
Cup,D00463.obj,4710
Cup,D00519.obj,856
Cup,D00550.obj,13747
Cup,D00587.obj,7102
Cup,D00638.obj,6786
Cup,D00642.obj,1686
Cup,D00738.obj,10318
Cup,D00843.obj,9127
Cup,D00874.obj,2296
Cup,D00882.obj,1553
Cup,m494.obj,770
Cup,m495.obj,1401
Cup,m496.obj,502
Cup,m497.obj,3008
Cup,m498.obj,380
Cup,m499.obj,339
Cup,m500.obj,71
Cup,m501.obj,1072
Cup,m502.obj,752
Cup,m526.obj,120
DeskLamp,D00048.obj,4189
DeskLamp,D00090.obj,6516
DeskLamp,D00147.obj,503
DeskLamp,D00257.obj,2208
DeskLamp,D00268.obj,1868
DeskLamp,D00330.obj,13579
DeskLamp,D00378.obj,69
DeskLamp,D00435.obj,2252
DeskLamp,D00455.obj,7627
DeskLamp,D00531.obj,2300
DeskLamp,D00547.obj,22837
DeskLamp,D00686.obj,3558
DeskLamp,D00693.obj,655
DeskLamp,D00698.obj,615
DeskLamp,D00715.obj,1964
DeskLamp,D00744.obj,21616
DeskLamp,D00759.obj,5982
DeskLamp,D00776.obj,1001
DeskLamp,D00797.obj,14960
DeskLamp,D00912.obj,10656
DeskLamp,m603.obj,166
DeskLamp,m604.obj,1316
DeskLamp,m605.obj,531
DeskLamp,m606.obj,87
DeskLamp,m608.obj,699
DeskLamp,m609.obj,1137
DeskLamp,m611.obj,87
DeskLamp,m613.obj,136
DeskLamp,m614.obj,336
DeskLamp,m615.obj,2689
DeskLamp,m616.obj,14129
DeskPhone,D00118.obj,12443
DeskPhone,D00135.obj,531
DeskPhone,D00154.obj,17247
DeskPhone,D00220.obj,3924
DeskPhone,D00316.obj,48093
DeskPhone,D00318.obj,4313
DeskPhone,D00403.obj,27361
DeskPhone,D00486.obj,1699
DeskPhone,D00511.obj,31349
DeskPhone,D00556.obj,586
DeskPhone,D00576.obj,13619
DeskPhone,D00680.obj,820
DeskPhone,D00706.obj,44937
DeskPhone,D00773.obj,23711
DeskPhone,D00829.obj,3870
DeskPhone,D00894.obj,880
DeskPhone,D00897.obj,27510
DeskPhone,D00899.obj,39872
DeskPhone,D00957.obj,14677
DeskPhone,D00958.obj,11731
Door,D01005.obj,6044
Door,D01029.obj,456
Door,D01052.obj,676
Door,D01058.obj,858
Door,D01062.obj,128
Door,D01076.obj,1724
Door,D01104.obj,871
Door,D01114.obj,1336
Door,D01121.obj,16
Door,D01129.obj,2695
Door,D01136.obj,716
Door,D01139.obj,31
Door,D01141.obj,2447
Door,D01143.obj,48
Door,D01144.obj,68
Door,D01155.obj,128
Door,D01158.obj,716
Door,D01167.obj,124
Door,D01177.obj,88
Door,D01194.obj,18
Door,m1707.obj,456
Door,m1708.obj,16
Door,m1710.obj,522
Door,m1711.obj,68
Door,m1712.obj,1724
Door,m1713.obj,6044
Door,m1714.obj,871
Door,m1715.obj,676
Door,m1716.obj,2447
Door,m1717.obj,858
Door,m1718.obj,2695
Door,m1720.obj,716
Door,m1721.obj,716
Door,m1722.obj,1336
Door,m1723.obj,128
Door,m1724.obj,124
Door,m1725.obj,3232
Door,m1726.obj,128
Door,m1727.obj,3724
Door,m1728.obj,2018
Door,m1729.obj,336
Door,m1730.obj,336
Door,m1731.obj,1974
Door,m1732.obj,300
Drum,D00026.obj,5506
Drum,D00063.obj,1800
Drum,D00115.obj,36
Drum,D00163.obj,8433
Drum,D00189.obj,651
Drum,D00193.obj,1800
Drum,D00297.obj,5561
Drum,D00298.obj,1609
Drum,D00308.obj,168
Drum,D00375.obj,4790
Drum,D00383.obj,360
Drum,D00404.obj,1296
Drum,D00551.obj,240
Drum,D00557.obj,444
Drum,D00596.obj,169
Drum,D00709.obj,102
Drum,D00939.obj,5390
Drum,D00951.obj,7993
Drum,D00980.obj,5653
Drum,D00982.obj,1835
Fish,D00012.obj,4240
Fish,D00022.obj,3912
Fish,D00024.obj,3952
Fish,D00030.obj,3760
Fish,D00142.obj,3048
Fish,D00165.obj,4264
Fish,D00251.obj,4006
Fish,D00293.obj,4072
Fish,D00351.obj,3206
Fish,D00398.obj,3820
Fish,D00450.obj,3784
Fish,D00535.obj,3934
Fish,D00633.obj,3712
Fish,D00636.obj,3374
Fish,D00643.obj,3928
Fish,D00682.obj,3980
Fish,D00748.obj,5046
Fish,D00763.obj,4122
Fish,D00850.obj,4382
Fish,D00950.obj,3427
FloorLamp,D00028.obj,871
FloorLamp,D00093.obj,3756
FloorLamp,D00186.obj,7694
FloorLamp,D00211.obj,5097
FloorLamp,D00228.obj,1322
FloorLamp,D00388.obj,3767
FloorLamp,D00400.obj,14213
FloorLamp,D00408.obj,4018
FloorLamp,D00447.obj,4911
FloorLamp,D00495.obj,4282
FloorLamp,D00563.obj,11136
FloorLamp,D00580.obj,39647
FloorLamp,D00740.obj,1128
FloorLamp,D00856.obj,3339
FloorLamp,D00875.obj,15152
FloorLamp,D00876.obj,14464
FloorLamp,D00888.obj,1819
FloorLamp,D00924.obj,17626
FloorLamp,D00955.obj,8300
FloorLamp,D00981.obj,454
FloorLamp,m617.obj,4440
FloorLamp,m618.obj,1622
FloorLamp,m619.obj,361
FloorLamp,m620.obj,5584
FloorLamp,m621.obj,778
FloorLamp,m622.obj,54
FloorLamp,m623.obj,78
FloorLamp,m624.obj,46
Glasses,D00050.obj,6852
Glasses,D00201.obj,6519
Glasses,D00225.obj,1524
Glasses,D00432.obj,408
Glasses,D00475.obj,1566
Glasses,D00507.obj,6852
Glasses,D00560.obj,4230
Glasses,D00575.obj,17472
Glasses,D00630.obj,3019
Glasses,D00640.obj,13986
Glasses,D00656.obj,220
Glasses,D00660.obj,10770
Glasses,D00717.obj,1836
Glasses,D00730.obj,3334
Glasses,D00813.obj,696
Glasses,D00816.obj,15752
Glasses,D00877.obj,2864
Glasses,D00883.obj,2804
Glasses,D00937.obj,312
Glasses,D00994.obj,2199
Guitar,D00023.obj,3655
Guitar,D00041.obj,28373
Guitar,D00076.obj,8889
Guitar,D00097.obj,270
Guitar,D00124.obj,2013
Guitar,D00222.obj,1068
Guitar,D00232.obj,7781
Guitar,D00335.obj,32795
Guitar,D00374.obj,1491
Guitar,D00414.obj,947
Guitar,D00416.obj,4694
Guitar,D00461.obj,8636
Guitar,D00464.obj,3016
Guitar,D00494.obj,32748
Guitar,D00534.obj,1864
Guitar,D00549.obj,10340
Guitar,D00645.obj,1033
Guitar,D00655.obj,8251
Guitar,D00844.obj,9253
Guitar,D00849.obj,29495
Gun,D00103.obj,1931
Gun,D00137.obj,5308
Gun,D00140.obj,4462
Gun,D00153.obj,364
Gun,D00161.obj,302
Gun,D00204.obj,5558
Gun,D00207.obj,16366
Gun,D00209.obj,6826
Gun,D00239.obj,2121
Gun,D00244.obj,299
Gun,D00282.obj,3835
Gun,D00368.obj,4651
Gun,D00425.obj,10850
Gun,D00477.obj,2147
Gun,D00606.obj,3338
Gun,D00802.obj,300
Gun,D00819.obj,17257
Gun,D00826.obj,11855
Gun,D00929.obj,1026
Gun,D00972.obj,28870
Gun,m648.obj,1238
Gun,m649.obj,1094
Gun,m650.obj,1460
Gun,m651.obj,91
Gun,m652.obj,4950
Gun,m653.obj,2162
Gun,m654.obj,1064
Gun,m655.obj,364
Gun,m656.obj,15763
Gun,m657.obj,18283
Gun,m658.obj,293
Gun,m659.obj,1181
Gun,m660.obj,1085
Gun,m661.obj,370
Gun,m662.obj,460
Gun,m663.obj,502
Gun,m664.obj,4651
Gun,m665.obj,1847
Gun,m666.obj,13440
Gun,m667.obj,767
Gun,m668.obj,1414
Gun,m669.obj,1070
Gun,m670.obj,3285
Gun,m671.obj,1190
Gun,m672.obj,140
Gun,m674.obj,7722
Gun,m675.obj,438
Gun,m676.obj,485
Gun,m677.obj,3330
Gun,m678.obj,1305
Gun,m679.obj,2003
Gun,m680.obj,2823
Gun,m681.obj,630
Gun,m682.obj,550
Gun,m683.obj,502
Gun,m684.obj,27919
Gun,m685.obj,280
Gun,m686.obj,879
Hand,D01006.obj,7929
Hand,D01020.obj,8524
Hand,D01022.obj,799
Hand,D01024.obj,114
Hand,D01041.obj,1546
Hand,D01060.obj,1521
Hand,D01074.obj,421
Hand,D01093.obj,8471
Hand,D01097.obj,6191
Hand,D01106.obj,2248
Hand,D01117.obj,6038
Hand,D01118.obj,1557
Hand,D01153.obj,25001
Hand,D01162.obj,1198
Hand,D01170.obj,1547
Hand,D01172.obj,43386
Hand,D01193.obj,386
Hand,D01197.obj,7112
Hand,D01198.obj,1925
Hand,D01200.obj,7314
Hand,m323.obj,43386
Hand,m324.obj,25001
Hand,m325.obj,1546
Hand,m326.obj,1521
Hand,m327.obj,386
Hand,m328.obj,6038
Hand,m329.obj,6191
Hand,m330.obj,799
Hand,m331.obj,421
Hand,m332.obj,1198
Hand,m333.obj,1023
Hand,m334.obj,114
Hand,m335.obj,7929
Hand,m336.obj,1557
Hand,m337.obj,1925
Hand,m338.obj,1547
Hand,m339.obj,2248
Hat,m1627.obj,1009
Hat,m1628.obj,958
Hat,m1629.obj,2388
Hat,m1630.obj,562
Hat,m1631.obj,2064
Hat,m1632.obj,1264
Hat,m1633.obj,1400
Hat,m1634.obj,5814
Hat,m1635.obj,5092
Hat,m1636.obj,426
Hat,m1637.obj,1002
Hat,m1638.obj,8815
Hat,m1639.obj,2029
Hat,m1640.obj,1002
Hat,m1641.obj,1256
Helicopter,D00038.obj,13309
Helicopter,D00191.obj,4498
Helicopter,D00361.obj,27062
Helicopter,D00397.obj,5567
Helicopter,D00423.obj,1362
Helicopter,D00470.obj,496
Helicopter,D00471.obj,10985
Helicopter,D00473.obj,5823
Helicopter,D00498.obj,2133
Helicopter,D00500.obj,9980
Helicopter,D00502.obj,3716
Helicopter,D00644.obj,35044
Helicopter,D00658.obj,2770
Helicopter,D00751.obj,17617
Helicopter,D00796.obj,222
Helicopter,D00820.obj,2929
Helicopter,D00868.obj,748
Helicopter,D00977.obj,5681
Helicopter,D00986.obj,1176
Helicopter,D00991.obj,1988
Helicopter,m1302.obj,1058
Helicopter,m1304.obj,1066
Helicopter,m1305.obj,7105
Helicopter,m1306.obj,8547
Helicopter,m1307.obj,18454
Helicopter,m1308.obj,58392
Helicopter,m1309.obj,2046
Helicopter,m1310.obj,1362
Helicopter,m1311.obj,1006
Helicopter,m1312.obj,222
Helicopter,m1313.obj,1610
Helicopter,m1314.obj,1644
Helicopter,m1315.obj,510
Helicopter,m1316.obj,396
Helicopter,m1317.obj,1176
Helicopter,m1318.obj,1162
Helicopter,m1319.obj,598
