Class,Object,Vertex Count,Triangles,Quads,Pentagons,Hexagons,7+ sided polygons,Total Faces,Face Types
AquaticAnimal,m71.obj,420,836,0,0,0,0,836,Triangle
AquaticAnimal,m72.obj,331,590,0,0,0,0,590,Triangle
AquaticAnimal,m73.obj,285,564,0,0,0,0,564,Triangle
AquaticAnimal,m74.obj,162,336,0,0,0,0,336,Triangle
AquaticAnimal,m75.obj,298,512,0,0,0,0,512,Triangle
AquaticAnimal,m76.obj,1583,3164,0,0,0,0,3164,Triangle
AquaticAnimal,m77.obj,11578,23022,0,0,0,0,23022,Triangle
AquaticAnimal,m78.obj,468,734,0,0,0,0,734,Triangle
AquaticAnimal,m79.obj,166,226,0,0,0,0,226,Triangle
AquaticAnimal,m80.obj,1104,2104,0,0,0,0,2104,Triangle
AquaticAnimal,m81.obj,857,1673,0,0,0,0,1673,Triangle
Bed,D00031.obj,1867,3590,0,0,0,0,3590,Triangle
Bed,D00110.obj,1926,3644,0,0,0,0,3644,Triangle
Bed,D00121.obj,15368,24612,0,0,0,0,24612,Triangle
Bed,D00184.obj,7218,14204,0,0,0,0,14204,Triangle
Bed,D00210.obj,22063,34247,0,0,0,0,34247,Triangle
Bed,D00213.obj,2277,4536,0,0,0,0,4536,Triangle
Bed,D00217.obj,3238,6272,0,0,0,0,6272,Triangle
Bed,D00307.obj,2644,5259,0,0,0,0,5259,Triangle
Bed,D00322.obj,9342,14796,0,0,0,0,14796,Triangle
Bed,D00417.obj,12808,24736,0,0,0,0,24736,Triangle
Bed,D00538.obj,7136,13868,0,0,0,0,13868,Triangle
Bed,D00545.obj,415,838,0,0,0,0,838,Triangle
Bed,D00552.obj,6349,12251,0,0,0,0,12251,Triangle
Bed,D00565.obj,826,1628,0,0,0,0,1628,Triangle
Bed,D00650.obj,3752,7443,0,0,0,0,7443,Triangle
Bed,D00735.obj,453,684,0,0,0,0,684,Triangle
Bed,D00836.obj,1563,3154,0,0,0,0,3154,Triangle
Bed,D00839.obj,16364,32648,0,0,0,0,32648,Triangle
Bed,D00969.obj,13151,23918,0,0,0,0,23918,Triangle
Bed,D00988.obj,768,624,0,0,0,0,624,Triangle
Bed,m945.obj,8116,15659,0,0,0,0,15659,Triangle
Bed,m946.obj,449,644,0,0,0,0,644,Triangle
Bed,m947.obj,441,584,0,0,0,0,584,Triangle
Bed,m948.obj,4597,9038,0,0,0,0,9038,Triangle
Bed,m949.obj,706,1388,0,0,0,0,1388,Triangle
Bed,m950.obj,437,724,0,0,0,0,724,Triangle
Bed,m951.obj,363,572,0,0,0,0,572,Triangle
Bicycle,D00016.obj,2769,5049,0,0,0,0,5049,Triangle
Bicycle,D00033.obj,2192,4448,0,0,0,0,4448,Triangle
Bicycle,D00040.obj,25426,50650,0,0,0,0,50650,Triangle
Bicycle,D00077.obj,16416,32265,0,0,0,0,32265,Triangle
Bicycle,D00078.obj,22674,44740,0,0,0,0,44740,Triangle
Bicycle,D00462.obj,56754,111471,0,0,0,0,111471,Triangle
Bicycle,D00514.obj,6951,12939,0,0,0,0,12939,Triangle
Bicycle,D00536.obj,30832,60488,0,0,0,0,60488,Triangle
Bicycle,D00555.obj,34364,64544,0,0,0,0,64544,Triangle
Bicycle,D00558.obj,19417,37661,0,0,0,0,37661,Triangle
Bicycle,D00567.obj,436,916,0,0,0,0,916,Triangle
Bicycle,D00621.obj,2769,5049,0,0,0,0,5049,Triangle
Bicycle,D00708.obj,22495,44110,0,0,0,0,44110,Triangle
Bicycle,D00750.obj,3053,5484,0,0,0,0,5484,Triangle
Bicycle,D00838.obj,23397,45925,0,0,0,0,45925,Triangle
Bicycle,D00847.obj,22672,44707,0,0,0,0,44707,Triangle
Bicycle,D00904.obj,5354,10548,0,0,0,0,10548,Triangle
Bicycle,D00930.obj,29173,57224,0,0,0,0,57224,Triangle
Bicycle,D00931.obj,32603,64230,0,0,0,0,64230,Triangle
Bicycle,D00974.obj,6045,12065,0,0,0,0,12065,Triangle
Bicycle,m1472.obj,524,846,0,0,0,0,846,Triangle
Bicycle,m1473.obj,2192,4448,0,0,0,0,4448,Triangle
Bicycle,m1475.obj,6049,12065,0,0,0,0,12065,Triangle
Bicycle,m1476.obj,436,916,0,0,0,0,916,Triangle
Bicycle,m1477.obj,22682,44727,0,0,0,0,44727,Triangle
Bicycle,m1478.obj,2769,5049,0,0,0,0,5049,Triangle
Biplane,D00069.obj,3242,6326,0,0,0,0,6326,Triangle
Biplane,D00132.obj,287,348,0,0,0,0,348,Triangle
Biplane,D00178.obj,10942,8057,0,0,0,0,8057,Triangle
Biplane,D00199.obj,2584,3764,0,0,0,0,3764,Triangle
Biplane,D00246.obj,14082,9353,0,0,0,0,9353,Triangle
Biplane,D00276.obj,567,916,0,0,0,0,916,Triangle
Biplane,D00277.obj,22427,41567,0,0,0,0,41567,Triangle
Biplane,D00320.obj,9723,17476,0,0,0,0,17476,Triangle
Biplane,D00373.obj,5941,12536,0,0,0,0,12536,Triangle
Biplane,D00410.obj,2167,4254,0,0,0,0,4254,Triangle
Biplane,D00490.obj,24998,46318,0,0,0,0,46318,Triangle
Biplane,D00515.obj,5381,10522,0,0,0,0,10522,Triangle
Biplane,D00601.obj,18086,36024,0,0,0,0,36024,Triangle
Biplane,D00616.obj,20306,37102,0,0,0,0,37102,Triangle
Biplane,D00632.obj,624,1024,0,0,0,0,1024,Triangle
Biplane,D00634.obj,48973,77264,0,0,0,0,77264,Triangle
Biplane,D00666.obj,469,794,0,0,0,0,794,Triangle
Biplane,D00854.obj,18966,37292,0,0,0,0,37292,Triangle
Biplane,D00890.obj,45079,47490,0,0,0,0,47490,Triangle
Biplane,D00900.obj,27750,49863,0,0,0,0,49863,Triangle
Biplane,m1118.obj,10676,20408,0,0,0,0,20408,Triangle
Biplane,m1119.obj,863,1550,0,0,0,0,1550,Triangle
Biplane,m1120.obj,65722,129881,0,0,0,0,129881,Triangle
Biplane,m1121.obj,1062,1913,0,0,0,0,1913,Triangle
Biplane,m1122.obj,6704,11577,0,0,0,0,11577,Triangle
Biplane,m1123.obj,1015,1756,0,0,0,0,1756,Triangle
Biplane,m1124.obj,390,572,0,0,0,0,572,Triangle
Biplane,m1125.obj,434,656,0,0,0,0,656,Triangle
Biplane,m1126.obj,770,1316,0,0,0,0,1316,Triangle
Biplane,m1127.obj,354,520,0,0,0,0,520,Triangle
Biplane,m1128.obj,718,1232,0,0,0,0,1232,Triangle
Biplane,m1129.obj,3351,6272,0,0,0,0,6272,Triangle
Biplane,m1131.obj,482,768,0,0,0,0,768,Triangle
Biplane,m1132.obj,882,1428,0,0,0,0,1428,Triangle
Biplane,m1133.obj,624,1024,0,0,0,0,1024,Triangle
Biplane,m1134.obj,338,512,0,0,0,0,512,Triangle
Biplane,m1135.obj,264,360,0,0,0,0,360,Triangle
Biplane,m1136.obj,904,1628,0,0,0,0,1628,Triangle
Biplane,m1137.obj,408,524,0,0,0,0,524,Triangle
Biplane,m1138.obj,2050,3586,0,0,0,0,3586,Triangle
Biplane,m1139.obj,2920,4234,0,0,0,0,4234,Triangle
Biplane,m1141.obj,11819,23138,0,0,0,0,23138,Triangle
Biplane,m1143.obj,3336,6570,0,0,0,0,6570,Triangle
Biplane,m1144.obj,3627,6736,0,0,0,0,6736,Triangle
Biplane,m1146.obj,1700,3016,0,0,0,0,3016,Triangle
Bird,D00089.obj,233,462,0,0,0,0,462,Triangle
Bird,D00113.obj,15871,31702,0,0,0,0,31702,Triangle
Bird,D00164.obj,8188,16135,0,0,0,0,16135,Triangle
Bird,D00234.obj,1247,2468,0,0,0,0,2468,Triangle
Bird,D00271.obj,12813,24753,0,0,0,0,24753,Triangle
Bird,D00284.obj,13253,26516,0,0,0,0,26516,Triangle
Bird,D00323.obj,260,364,0,0,0,0,364,Triangle
Bird,D00386.obj,1751,3498,0,0,0,0,3498,Triangle
Bird,D00438.obj,1824,3709,0,0,0,0,3709,Triangle
Bird,D00442.obj,9745,17119,0,0,0,0,17119,Triangle
Bird,D00546.obj,1162,2012,0,0,0,0,2012,Triangle
Bird,D00599.obj,1792,3626,0,0,0,0,3626,Triangle
Bird,D00625.obj,1091,1398,0,0,0,0,1398,Triangle
Bird,D00689.obj,2683,5388,0,0,0,0,5388,Triangle
Bird,D00736.obj,3947,7898,0,0,0,0,7898,Triangle
Bird,D00762.obj,950,1896,0,0,0,0,1896,Triangle
Bird,D00862.obj,757,1507,0,0,0,0,1507,Triangle
Bird,D00922.obj,903,1794,0,0,0,0,1794,Triangle
Bird,D00961.obj,1344,2734,0,0,0,0,2734,Triangle
Bird,D00999.obj,373,744,0,0,0,0,744,Triangle
Bird,m28.obj,6076,11660,0,0,0,0,11660,Triangle
Bird,m29.obj,2972,5878,0,0,0,0,5878,Triangle
Bird,m30.obj,390,800,0,0,0,0,800,Triangle
Bird,m31.obj,1802,3548,0,0,0,0,3548,Triangle
Bird,m32.obj,1129,2246,0,0,0,0,2246,Triangle
Bird,m33.obj,3144,6164,0,0,0,0,6164,Triangle
Bird,m34.obj,233,462,0,0,0,0,462,Triangle
Bird,m35.obj,699,1394,0,0,0,0,1394,Triangle
Bird,m36.obj,1289,2503,0,0,0,0,2503,Triangle
Bird,m37.obj,567,1130,0,0,0,0,1130,Triangle
Bird,m38.obj,464,928,0,0,0,0,928,Triangle
Bird,m39.obj,649,1156,0,0,0,0,1156,Triangle
Bird,m40.obj,2684,5390,0,0,0,0,5390,Triangle
Bird,m41.obj,1824,3709,0,0,0,0,3709,Triangle
Bird,m42.obj,116,265,0,0,0,0,265,Triangle
Bird,m43.obj,41,54,0,0,0,0,54,Triangle
Bird,m44.obj,401,798,0,0,0,0,798,Triangle
Bird,m45.obj,16542,33072,0,0,0,0,33072,Triangle
Bird,m47.obj,101,165,0,0,0,0,165,Triangle
Bird,m48.obj,427,824,0,0,0,0,824,Triangle
Bird,m49.obj,2329,4364,0,0,0,0,4364,Triangle
Bird,m50.obj,93,182,0,0,0,0,182,Triangle
Bird,m51.obj,309,598,0,0,0,0,598,Triangle
Bird,m52.obj,294,560,0,0,0,0,560,Triangle
Bookset,D01009.obj,444,3156,0,0,0,0,3156,Triangle
Bookset,D01013.obj,320,816,0,0,0,0,816,Triangle
Bookset,D01030.obj,208,1152,0,0,0,0,1152,Triangle
Bookset,D01038.obj,2208,14844,0,0,0,0,14844,Triangle
Bookset,D01042.obj,668,2373,0,0,0,0,2373,Triangle
Bookset,D01050.obj,140,780,0,0,0,0,780,Triangle
Bookset,D01065.obj,360,918,0,0,0,0,918,Triangle
Bookset,D01078.obj,1203,6861,0,0,0,0,6861,Triangle
Bookset,D01096.obj,624,2544,0,0,0,0,2544,Triangle
Bookset,D01108.obj,1628,9798,0,0,0,0,9798,Triangle
Bookset,D01109.obj,1203,6861,0,0,0,0,6861,Triangle
Bookset,D01110.obj,166,936,0,0,0,0,936,Triangle
Bookset,D01122.obj,110,624,0,0,0,0,624,Triangle
Bookset,D01135.obj,1645,10185,0,0,0,0,10185,Triangle
Bookset,D01146.obj,2694,7149,0,0,0,0,7149,Triangle
Bookset,D01182.obj,188,1020,0,0,0,0,1020,Triangle
Bookset,D01183.obj,891,3231,0,0,0,0,3231,Triangle
Bookset,D01184.obj,247,1557,0,0,0,0,1557,Triangle
Bookset,D01190.obj,2417,14484,0,0,0,0,14484,Triangle
Bookset,D01199.obj,240,1524,0,0,0,0,1524,Triangle
Bottle,D00020.obj,971,1710,0,0,0,0,1710,Triangle
Bottle,D00123.obj,1067,2044,0,0,0,0,2044,Triangle
Bottle,D00139.obj,2452,4860,0,0,0,0,4860,Triangle
Bottle,D00166.obj,23142,45936,0,0,0,0,45936,Triangle
Bottle,D00176.obj,7138,14272,0,0,0,0,14272,Triangle
Bottle,D00208.obj,2000,3640,0,0,0,0,3640,Triangle
Bottle,D00281.obj,1304,1764,0,0,0,0,1764,Triangle
Bottle,D00311.obj,829,1448,0,0,0,0,1448,Triangle
Bottle,D00347.obj,2426,4438,0,0,0,0,4438,Triangle
Bottle,D00350.obj,569,921,0,0,0,0,921,Triangle
Bottle,D00390.obj,1499,2742,0,0,0,0,2742,Triangle
Bottle,D00451.obj,11448,18236,0,0,0,0,18236,Triangle
Bottle,D00679.obj,12640,23052,0,0,0,0,23052,Triangle
Bottle,D00696.obj,13754,25850,0,0,0,0,25850,Triangle
Bottle,D00711.obj,192,336,0,0,0,0,336,Triangle
Bottle,D00716.obj,446,856,0,0,0,0,856,Triangle
Bottle,D00726.obj,10163,18390,0,0,0,0,18390,Triangle
Bottle,D00892.obj,2474,4940,0,0,0,0,4940,Triangle
Bottle,D00940.obj,737,1242,0,0,0,0,1242,Triangle
Bottle,D00959.obj,479,892,0,0,0,0,892,Triangle
Bottle,m482.obj,542,950,0,0,0,0,950,Triangle
Bottle,m483.obj,371,620,0,0,0,0,620,Triangle
Bottle,m484.obj,460,888,0,0,0,0,888,Triangle
Bottle,m485.obj,526,936,0,0,0,0,936,Triangle
Bottle,m486.obj,2101,3894,0,0,0,0,3894,Triangle
Bottle,m487.obj,133,290,0,0,0,0,290,Triangle
Bottle,m488.obj,144,284,0,0,0,0,284,Triangle
Bottle,m489.obj,558,1055,0,0,0,0,1055,Triangle
Bottle,m490.obj,574,1075,0,0,0,0,1075,Triangle
Bottle,m491.obj,544,997,0,0,0,0,997,Triangle
Bottle,m492.obj,360,724,0,0,0,0,724,Triangle
BuildingNonResidential,m382.obj,252,400,0,0,0,0,400,Triangle
BuildingNonResidential,m383.obj,2328,4460,0,0,0,0,4460,Triangle
BuildingNonResidential,m384.obj,2984,4686,0,0,0,0,4686,Triangle
BuildingNonResidential,m385.obj,674,918,0,0,0,0,918,Triangle
BuildingNonResidential,m386.obj,532,1008,0,0,0,0,1008,Triangle
BuildingNonResidential,m387.obj,844,1668,0,0,0,0,1668,Triangle
BuildingNonResidential,m389.obj,2509,5100,0,0,0,0,5100,Triangle
BuildingNonResidential,m390.obj,40,45,0,0,0,0,45,Triangle
BuildingNonResidential,m391.obj,246,274,0,0,0,0,274,Triangle
BuildingNonResidential,m392.obj,33,80,0,0,0,0,80,Triangle
BuildingNonResidential,m393.obj,241,326,0,0,0,0,326,Triangle
BuildingNonResidential,m394.obj,750,1246,0,0,0,0,1246,Triangle
BuildingNonResidential,m395.obj,630,696,0,0,0,0,696,Triangle
BuildingNonResidential,m396.obj,445,470,0,0,0,0,470,Triangle
BuildingNonResidential,m397.obj,1362,2680,0,0,0,0,2680,Triangle
BuildingNonResidential,m398.obj,498,936,0,0,0,0,936,Triangle
BuildingNonResidential,m399.obj,7530,13536,0,0,0,0,13536,Triangle
BuildingNonResidential,m400.obj,488,840,0,0,0,0,840,Triangle
BuildingNonResidential,m401.obj,6936,13373,0,0,0,0,13373,Triangle
BuildingNonResidential,m402.obj,21288,41661,0,0,0,0,41661,Triangle
BuildingNonResidential,m404.obj,1054,2752,0,0,0,0,2752,Triangle
BuildingNonResidential,m405.obj,21009,41835,0,0,0,0,41835,Triangle
BuildingNonResidential,m406.obj,7328,13892,0,0,0,0,13892,Triangle
BuildingNonResidential,m407.obj,229,404,0,0,0,0,404,Triangle
BuildingNonResidential,m408.obj,1252,2372,0,0,0,0,2372,Triangle
BuildingNonResidential,m409.obj,1509,1988,0,0,0,0,1988,Triangle
BuildingNonResidential,m410.obj,1217,2076,0,0,0,0,2076,Triangle
BuildingNonResidential,m412.obj,1990,2820,0,0,0,0,2820,Triangle
BuildingNonResidential,m413.obj,3749,7282,0,0,0,0,7282,Triangle
BuildingNonResidential,m414.obj,1056,1944,0,0,0,0,1944,Triangle
BuildingNonResidential,m415.obj,508,956,0,0,0,0,956,Triangle
BuildingNonResidential,m416.obj,7056,13542,0,0,0,0,13542,Triangle
BuildingNonResidential,m418.obj,1576,2836,0,0,0,0,2836,Triangle
BuildingNonResidential,m420.obj,7226,12960,0,0,0,0,12960,Triangle
BuildingNonResidential,m421.obj,6853,11000,0,0,0,0,11000,Triangle
BuildingNonResidential,m470.obj,14464,28562,0,0,0,0,28562,Triangle
BuildingNonResidential,m471.obj,118,248,0,0,0,0,248,Triangle
BuildingNonResidential,m472.obj,358,704,0,0,0,0,704,Triangle
BuildingNonResidential,m474.obj,1361,2670,0,0,0,0,2670,Triangle
BuildingNonResidential,m475.obj,112,178,0,0,0,0,178,Triangle
BuildingNonResidential,m477.obj,1047,1708,0,0,0,0,1708,Triangle
BuildingNonResidential,m478.obj,1750,2980,0,0,0,0,2980,Triangle
BuildingNonResidential,m479.obj,648,1056,0,0,0,0,1056,Triangle
BuildingNonResidential,m481.obj,473,760,0,0,0,0,760,Triangle
Bus,D00084.obj,12919,75870,0,0,0,0,75870,Triangle
Bus,D00114.obj,7643,53259,0,0,0,0,53259,Triangle
Bus,D00151.obj,9415,54282,0,0,0,0,54282,Triangle
Bus,D00179.obj,5976,42567,0,0,0,0,42567,Triangle
Bus,D00182.obj,13436,86502,0,0,0,0,86502,Triangle
Bus,D00264.obj,11096,67185,0,0,0,0,67185,Triangle
Bus,D00411.obj,4964,34821,0,0,0,0,34821,Triangle
Bus,D00436.obj,4587,29118,0,0,0,0,29118,Triangle
Bus,D00446.obj,4915,28227,0,0,0,0,28227,Triangle
Bus,D00448.obj,7367,42369,0,0,0,0,42369,Triangle
Bus,D00483.obj,6097,25650,0,0,0,0,25650,Triangle
Bus,D00516.obj,4096,24888,0,0,0,0,24888,Triangle
Bus,D00677.obj,11974,65712,0,0,0,0,65712,Triangle
Bus,D00754.obj,8866,59982,0,0,0,0,59982,Triangle
Bus,D00769.obj,8963,56925,0,0,0,0,56925,Triangle
Bus,D00775.obj,9510,65670,0,0,0,0,65670,Triangle
Bus,D00815.obj,7075,40023,0,0,0,0,40023,Triangle
Bus,D00823.obj,7367,45333,0,0,0,0,45333,Triangle
Bus,D00832.obj,3155,18774,0,0,0,0,18774,Triangle
Bus,D00857.obj,5223,28053,0,0,0,0,28053,Triangle
Car,D00168.obj,4999,8157,0,0,0,0,8157,Triangle
Car,D00236.obj,26709,45234,0,0,0,0,45234,Triangle
Car,D00260.obj,38335,57440,0,0,0,0,57440,Triangle
Car,D00265.obj,4960,9157,0,0,0,0,9157,Triangle
Car,D00299.obj,23527,45452,0,0,0,0,45452,Triangle
Car,D00377.obj,8260,16515,0,0,0,0,16515,Triangle
Car,D00405.obj,62279,24552,0,0,0,0,24552,Triangle
Car,D00452.obj,25495,47667,0,0,0,0,47667,Triangle
Car,D00504.obj,5153,9168,0,0,0,0,9168,Triangle
Car,D00541.obj,2956,4770,0,0,0,0,4770,Triangle
Car,D00618.obj,3506,5877,0,0,0,0,5877,Triangle
Car,D00670.obj,4978,6755,0,0,0,0,6755,Triangle
Car,D00671.obj,29817,37380,0,0,0,0,37380,Triangle
Car,D00724.obj,17676,29905,0,0,0,0,29905,Triangle
Car,D00767.obj,13728,20980,0,0,0,0,20980,Triangle
Car,D00785.obj,7248,11230,0,0,0,0,11230,Triangle
Car,D00793.obj,5322,9907,0,0,0,0,9907,Triangle
Car,D00803.obj,25807,50126,0,0,0,0,50126,Triangle
Car,D00865.obj,15085,24340,0,0,0,0,24340,Triangle
Car,D00976.obj,18122,32782,0,0,0,0,32782,Triangle
Car,m1485.obj,6148,12263,0,0,0,0,12263,Triangle
Car,m1486.obj,5911,11230,0,0,0,0,11230,Triangle
Car,m1487.obj,7454,15436,0,0,0,0,15436,Triangle
Car,m1488.obj,4952,9223,0,0,0,0,9223,Triangle
Car,m1489.obj,1684,3352,0,0,0,0,3352,Triangle
Car,m1490.obj,2868,5566,0,0,0,0,5566,Triangle
Car,m1492.obj,5914,10880,0,0,0,0,10880,Triangle
Car,m1495.obj,6870,13402,0,0,0,0,13402,Triangle
Car,m1496.obj,8404,16736,0,0,0,0,16736,Triangle
Car,m1497.obj,3655,7234,0,0,0,0,7234,Triangle
Car,m1498.obj,5514,10496,0,0,0,0,10496,Triangle
Car,m1499.obj,15465,31807,0,0,0,0,31807,Triangle
Car,m1500.obj,1644,3260,0,0,0,0,3260,Triangle
Car,m1502.obj,4970,7120,0,0,0,0,7120,Triangle
Car,m1503.obj,24786,50685,0,0,0,0,50685,Triangle
Car,m1504.obj,1621,3269,0,0,0,0,3269,Triangle
Car,m1505.obj,10969,21007,0,0,0,0,21007,Triangle
Car,m1506.obj,4284,7879,0,0,0,0,7879,Triangle
Car,m1507.obj,6514,12769,0,0,0,0,12769,Triangle
Car,m1508.obj,4336,10492,0,0,0,0,10492,Triangle
Car,m1509.obj,47558,95017,0,0,0,0,95017,Triangle
Car,m1510.obj,54710,109357,0,0,0,0,109357,Triangle
Car,m1511.obj,10828,20577,0,0,0,0,20577,Triangle
Car,m1512.obj,6816,11468,0,0,0,0,11468,Triangle
Car,m1513.obj,13106,20844,0,0,0,0,20844,Triangle
Car,m1514.obj,18662,36856,0,0,0,0,36856,Triangle
Car,m1515.obj,250,391,0,0,0,0,391,Triangle
Car,m1516.obj,12279,24863,0,0,0,0,24863,Triangle
Car,m1517.obj,3956,7448,0,0,0,0,7448,Triangle
Car,m1518.obj,7486,14482,0,0,0,0,14482,Triangle
Car,m1519.obj,4275,7958,0,0,0,0,7958,Triangle
Car,m1521.obj,308,580,0,0,0,0,580,Triangle
Car,m1522.obj,2676,4713,0,0,0,0,4713,Triangle
Car,m1523.obj,1830,3640,0,0,0,0,3640,Triangle
Car,m1524.obj,1517,3014,0,0,0,0,3014,Triangle
Car,m1525.obj,10545,21450,0,0,0,0,21450,Triangle
Car,m1526.obj,320,560,0,0,0,0,560,Triangle
Car,m1527.obj,7315,14450,0,0,0,0,14450,Triangle
Car,m1528.obj,18656,37254,0,0,0,0,37254,Triangle
Car,m1529.obj,4168,7412,0,0,0,0,7412,Triangle
Car,m1530.obj,1268,2286,0,0,0,0,2286,Triangle
Car,m1531.obj,2170,4060,0,0,0,0,4060,Triangle
Car,m1532.obj,132,134,0,0,0,0,134,Triangle
Car,m1533.obj,7374,14462,0,0,0,0,14462,Triangle
Car,m1535.obj,15178,29304,0,0,0,0,29304,Triangle
Car,m1536.obj,1503,3653,0,0,0,0,3653,Triangle
Car,m1538.obj,1830,3640,0,0,0,0,3640,Triangle
Car,m1539.obj,8254,16515,0,0,0,0,16515,Triangle
Car,m1540.obj,8492,16860,0,0,0,0,16860,Triangle
Car,m1542.obj,4384,7414,0,0,0,0,7414,Triangle
Car,m1543.obj,386,548,0,0,0,0,548,Triangle
Car,m1544.obj,60326,116378,0,0,0,0,116378,Triangle
Car,m1545.obj,8278,14914,0,0,0,0,14914,Triangle
Car,m1546.obj,9068,15012,0,0,0,0,15012,Triangle
Car,m1547.obj,249,440,0,0,0,0,440,Triangle
Car,m1548.obj,8278,14914,0,0,0,0,14914,Triangle
Car,m1550.obj,9369,17526,0,0,0,0,17526,Triangle
Car,m1551.obj,18528,35465,0,0,0,0,35465,Triangle
Car,m1552.obj,5247,10474,0,0,0,0,10474,Triangle
Car,m1553.obj,1239,1915,0,0,0,0,1915,Triangle
Car,m1555.obj,16607,30255,0,0,0,0,30255,Triangle
Car,m1556.obj,35131,119540,0,0,0,0,119540,Triangle
Car,m1557.obj,8489,16656,0,0,0,0,16656,Triangle
Car,m1558.obj,6943,11791,0,0,0,0,11791,Triangle
Car,m1559.obj,15606,30000,0,0,0,0,30000,Triangle
Car,m1560.obj,21686,43584,0,0,0,0,43584,Triangle
Car,m1561.obj,332,558,0,0,0,0,558,Triangle
Car,m1562.obj,12016,21840,0,0,0,0,21840,Triangle
Car,m1563.obj,616,1110,0,0,0,0,1110,Triangle
Cellphone,D00018.obj,14103,26960,0,0,0,0,26960,Triangle
Cellphone,D00032.obj,3500,2481,0,0,0,0,2481,Triangle
